ds,y
1769987068.3960052,66
1769987068.397404,66
1769987068.3977542,1514
1769987068.4012244,2962
1769987068.4068205,2962
1769987068.4104607,66
1769987068.420466,66
1769987068.4239788,2962
1769987068.4254704,2962
1769987068.4397166,66
1769987068.4408116,66
1769987068.4408138,66
1769987068.4411364,66
1769987068.4411182,2962
1769987068.4416304,66
1769987068.4549694,2962
1769987068.4583373,66
1769987068.4594405,66
1769987068.4594424,2962
1769987068.4647856,1514
1769987068.4717453,66
1769987068.4720082,2962
1769987068.476239,2962
1769987068.4897535,66
1769987068.4898374,2962
1769987068.493843,1514
1769987068.5084116,66
1769987068.508457,66
1769987068.508458,2962
1769987068.5085487,66
1769987068.50855,66
1769987068.5198283,2962
1769987068.526562,66
1769987068.526564,66
1769987068.5265806,66
1769987068.5350158,2962
1769987068.5365772,2962
1769987068.5433393,1514
1769987068.5535924,2962
1769987068.553647,2962
1769987068.5687573,66
1769987068.5722811,66
1769987068.572283,2962
1769987068.58338,66
1769987068.5888262,66
1769987068.5888283,66
1769987068.5888293,66
1769987068.5890884,2962
1769987068.5940416,66
1769987068.6062245,2962
1769987068.6140094,2962
1769987068.6239502,66
1769987068.6239517,2962
1769987068.6333582,66
1769987068.6411014,2962
1769987068.6455097,66
1769987068.6457136,2962
1769987068.6576927,2962
1769987068.6625288,2962
1769987068.6740172,66
1769987068.6748912,66
1769987068.6753447,66
1769987068.6753457,66
1769987068.677116,2962
1769987068.6839712,66
1769987068.694249,66
1769987068.6942525,2962
1769987068.7252545,66
1769987068.7252195,66
1769987068.7252712,66
1769987068.7252717,66
1769987068.7252274,66
1769987068.725228,2962
1769987068.725285,2962
1769987068.7458565,66
1769987068.7458553,66
1769987068.74593,2962
1769987068.7458718,2962
1769987068.7560782,66
1769987068.7560863,1514
1769987068.7561548,66
1769987068.7561564,2962
1769987068.7663472,2962
1769987068.7868857,2962
1769987068.786862,2962
1769987068.7971425,66
1769987068.7971458,66
1769987068.79736,2962
1769987068.8077648,66
1769987068.8179777,66
1769987068.8178883,66
1769987068.8179843,66
1769987068.8178957,2962
1769987068.8383687,66
1769987068.838376,66
1769987068.8383768,2962
1769987068.8384085,2962
1769987068.8590472,2962
1769987068.8591177,66
1769987068.8591359,2962
1769987068.8692632,2962
1769987068.869341,66
1769987068.869342,2962
1769987068.8899775,66
1769987068.890001,66
1769987068.8899903,2962
1769987068.9024887,66
1769987068.902562,66
1769987068.9025624,2962
1769987068.9105525,2962
1769987068.9208608,66
1769987068.9208632,74
1769987068.92087,2962
1769987068.9315572,66
1769987068.931685,2962
1769987068.941718,2962
1769987068.9417539,66
1769987068.9523582,66
1769987068.962727,1514
1769987068.9627495,2962
1769987068.9730446,66
1769987068.9730556,66
1769987068.9835489,2962
1769987068.9836197,2962
1769987069.9643552,2962
1769987069.9639137,66
1769987069.9641845,2962
1769987069.9757168,2962
1769987069.9757154,66
1769987069.9757383,66
1769987069.9757392,66
1769987069.97574,52
1769987069.9757411,1514
1769987070.963071,1514
1769987070.96478,66
1769987070.9630659,2962
1769987070.964847,66
1769987070.9648528,1514
1769987070.9712594,2962
1769987070.9722273,66
1769987070.9727952,2962
1769987070.98843,74
1769987070.988603,1514
1769987070.9894843,66
1769987070.9898186,2962
1769987070.9972155,66
1769987070.9975097,2962
1769987071.007236,1514
1769987071.0153978,66
1769987071.015397,2962
1769987071.0156784,74
1769987071.0162678,2962
1769987071.0320642,74
1769987071.0320678,66
1769987071.032498,74
1769987071.0353317,66
1769987071.0353308,2962
1769987071.0360956,66
1769987071.043811,66
1769987071.0438573,2962
1769987071.0514815,2962
1769987071.0608587,66
1769987071.0647922,66
1769987071.0675414,2962
1769987071.0842009,2962
1769987071.0901377,2962
1769987071.0982642,1514
1769987071.1026995,66
1769987071.1028109,66
1769987071.1028128,66
1769987071.1028152,2962
1769987071.1199164,2962
1769987071.122392,2962
1769987071.1321902,66
1769987071.1326385,66
1769987071.1331863,74
1769987071.1372724,2962
1769987071.1397657,2962
1769987071.1535497,78
1769987071.154672,2962
1769987071.1547706,66
1769987071.154773,66
1769987071.1588824,66
1769987071.1708636,66
1769987071.171466,66
1769987071.1716554,2962
1769987071.1888368,2962
1769987071.1981418,2962
1769987071.2061262,66
1769987071.2061324,66
1769987071.2062848,66
1769987071.206817,74
1769987071.206821,66
1769987071.207602,2962
1769987071.217492,2962
1769987071.2243645,2962
1769987071.9624898,66
1769987071.9624045,2962
1769987071.962544,66
1769987072.964609,66
1769987072.964678,2962
1769987072.9644442,66
1769987072.9645894,66
1769987072.9645905,66
1769987072.9645915,2962
1769987072.9731822,74
1769987072.9734554,2962
1769987072.97456,52
1769987072.9745607,1514
1769987072.982545,2962
1769987072.990794,54
1769987072.9908597,66
1769987072.9913313,66
1769987072.9916003,74
1769987072.9920144,66
1769987072.9924695,74
1769987072.9932423,74
1769987072.993244,74
1769987072.99382,2962
1769987072.999957,2962
1769987073.0108638,66
1769987073.0114243,66
1769987073.017488,54
1769987073.017495,66
1769987073.0174954,66
1769987073.0176232,74
1769987073.0181024,2962
1769987073.0219374,66
1769987073.0357652,74
1769987073.035767,66
1769987073.0358546,74
1769987073.0373871,1514
1769987073.0434399,2962
1769987073.0450954,2962
1769987073.0518045,2962
1769987073.062295,66
1769987073.062297,54
1769987073.0628629,54
1769987073.0628674,2962
1769987073.0693913,1514
1769987073.0794125,2962
1769987073.0821047,66
1769987073.0821095,54
1769987073.082111,66
1769987073.0821133,2962
1769987073.0953531,66
1769987073.0953631,66
1769987073.0953643,54
1769987073.0953658,66
1769987073.0959837,66
1769987073.098492,2962
1769987073.106806,2962
1769987073.1150165,66
1769987073.1151795,54
1769987073.1159837,74
1769987073.115986,66
1769987073.115987,2962
1769987073.125179,2962
1769987073.1337888,66
1769987073.133784,74
1769987073.1337867,2962
1769987073.1390088,66
1769987073.1441247,2962
1769987073.15073,66
1769987073.150736,66
1769987073.151575,1514
1769987073.1522584,66
1769987073.152839,66
1769987073.1597106,2962
1769987073.1726437,66
1769987073.177531,2962
1769987073.1882658,1514
1769987073.1886885,74
1769987073.1941078,2962
1769987073.1961687,2962
1769987073.2184913,2962
1769987073.2185497,2962
1769987073.2287428,66
1769987073.2287452,2962
1769987073.2292504,66
1769987073.2455323,66
1769987073.245542,66
1769987073.2461905,2962
1769987073.254158,66
1769987073.254223,2962
1769987073.2634826,66
1769987073.2634842,2962
1769987073.2701802,2962
1769987073.2808952,2962
1769987073.2838686,66
1769987073.2838721,66
1769987073.2846138,2962
1769987073.2994328,66
1769987073.2994344,66
1769987073.29943,2962
1769987073.3151076,1514
1769987073.3189583,66
1769987073.3197572,2962
1769987073.3233564,1514
1769987073.3538802,66
1769987073.3538835,2962
1769987073.3539941,2962
1769987073.3643935,2962
1769987073.3644648,66
1769987073.3653245,74
1769987073.9733593,66
1769987073.9725618,2962
1769987073.9733753,66
1769987073.9786031,66
1769987073.9810953,66
1769987073.9811046,2962
1769987073.9815156,66
1769987074.9499042,66
1769987074.9500782,66
1769987074.9500792,74
1769987074.95008,66
1769987074.9500806,2962
1769987074.9501579,66
1769987074.9503891,74
1769987074.951595,74
1769987074.9570978,2962
1769987074.9622734,66
1769987074.9623,66
1769987074.9623008,66
1769987074.962303,2962
1769987074.976001,2962
1769987074.9787085,2962
1769987074.984815,1514
1769987074.9933598,2962
1769987074.995344,52
1769987074.9953456,2962
1769987075.009653,66
1769987075.0102484,66
1769987075.0103946,54
1769987075.011072,66
1769987075.0111074,54
1769987075.0114398,66
1769987075.0117848,66
1769987075.0126498,2962
1769987075.012649,66
1769987075.0126536,2962
1769987075.0297334,66
1769987075.0297682,66
1769987075.0297623,74
1769987075.0298915,74
1769987075.0304248,74
1769987075.0305388,54
1769987075.0307183,74
1769987075.0322788,2962
1769987075.0323744,66
